# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	318374	320008	+	WP_005897513.1	WP_005897513.1		AAA family ATPase		45634129	AT688_RS01575	1635	544	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	320037	320831	+						45634130	AT688_RS01580	795		old_locus_tag=ERS445057_00315
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	320037	320831	+	WP_005897509.1	WP_005897509.1		hypothetical protein		45634130	AT688_RS01580	795	264	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	321044	321655	+						45634131	AT688_RS01585	612		old_locus_tag=ERS445057_00316
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	321044	321655	+	WP_005897505.1	WP_005897505.1		aminodeoxychorismate/anthranilate synthase component II		45634131	AT688_RS01585	612	203	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	321639	322991	+					pabB	45634132	AT688_RS01590	1353		old_locus_tag=ERS445057_00317
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	321639	322991	+	WP_005897502.1	WP_005897502.1		aminodeoxychorismate synthase component I	pabB	45634132	AT688_RS01590	1353	450	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	322985	323734	+						45634133	AT688_RS01595	750		old_locus_tag=ERS445057_00318
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	322985	323734	+	WP_005897499.1	WP_005897499.1		aminotransferase class IV		45634133	AT688_RS01595	750	249	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	323706	324350	+					pcp	45634134	AT688_RS01600	645		old_locus_tag=ERS445057_00319
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	323706	324350	+	WP_005897497.1	WP_005897497.1		pyroglutamyl-peptidase I	pcp	45634134	AT688_RS01600	645	214	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	324595	326160	+						45634135	AT688_RS01605	1566		old_locus_tag=ERS445057_00320
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	324595	326160	+	WP_005897495.1	WP_005897495.1		ClC family H(+)/Cl(-) exchange transporter		45634135	AT688_RS01605	1566	521	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	326163	327536	+						45634136	AT688_RS01610	1374		old_locus_tag=ERS445057_00321
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	326163	327536	+	WP_005897492.1	WP_005897492.1		MATE family efflux transporter		45634136	AT688_RS01610	1374	457	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	327551	328897	+						45634137	AT688_RS01615	1347		old_locus_tag=ERS445057_00322
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	327551	328897	+	WP_005897490.1	WP_005897490.1		TrkH family potassium uptake protein		45634137	AT688_RS01615	1347	448	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	328907	329563	+						45634138	AT688_RS01620	657		old_locus_tag=ERS445057_00323
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	328907	329563	+	WP_005897487.1	WP_005897487.1		TrkA family potassium uptake protein		45634138	AT688_RS01620	657	218	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	329572	331473	+					mnmG	45634139	AT688_RS01625	1902		old_locus_tag=ERS445057_00324
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	329572	331473	+	WP_005897484.1	WP_005897484.1		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	mnmG	45634139	AT688_RS01625	1902	633	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	331475	332173	+					rsmG	45634140	AT688_RS01630	699		old_locus_tag=ERS445057_00325
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	331475	332173	+	WP_005897481.1	WP_005897481.1		16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	rsmG	45634140	AT688_RS01630	699	232	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	332347	333633	+						45634141	AT688_RS01635	1287		old_locus_tag=ERS445057_00326
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	332347	333633	+	WP_005897474.1	WP_005897474.1		ISL3 family transposase		45634141	AT688_RS01635	1287	428	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	333777	334520	-						45634142	AT688_RS01640	744		old_locus_tag=ERS445057_00327
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	333777	334520	-	WP_005897471.1	WP_005897471.1		hypothetical protein		45634142	AT688_RS01640	744	247	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	334533	337175	-					secA	45634143	AT688_RS01645	2643		old_locus_tag=ERS445057_00328
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	334533	337175	-	WP_005897470.1	WP_005897470.1		preprotein translocase subunit SecA	secA	45634143	AT688_RS01645	2643	880	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	337234	339324	-					ligA	45634144	AT688_RS01650	2091		old_locus_tag=ERS445057_00329
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	337234	339324	-	WP_005897465.1	WP_005897465.1		NAD-dependent DNA ligase LigA	ligA	45634144	AT688_RS01650	2091	696	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	339429	339998	-						45634145	AT688_RS01655	570		old_locus_tag=ERS445057_00330
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	339429	339998	-	WP_005897463.1	WP_005897463.1		hypothetical protein		45634145	AT688_RS01655	570	189	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	340136	340726	-						45634146	AT688_RS01660	591		old_locus_tag=ERS445057_00331
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	340136	340726	-	WP_005897461.1	WP_005897461.1		TetR/AcrR family transcriptional regulator		45634146	AT688_RS01660	591	196	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	340738	341133	-						45634147	AT688_RS01665	396		old_locus_tag=ERS445057_00332
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	340738	341133	-	WP_005897459.1	WP_005897459.1		hypothetical protein		45634147	AT688_RS01665	396	131	
gene	pseudogene	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	341382	342207	+						45636146	AT688_RS11910	826		pseudo
CDS	without_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	341382	342207	+				transposase		45636146	AT688_RS11910	826		pseudo
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	342382	343194	-						45634148	AT688_RS01675	813		old_locus_tag=ERS445057_00334
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	342382	343194	-	WP_005897455.1	WP_005897455.1		PHP domain-containing protein		45634148	AT688_RS01675	813	270	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	343200	343949	-						45634149	AT688_RS01680	750		old_locus_tag=ERS445057_00335
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	343200	343949	-	WP_005897453.1	WP_005897453.1		phosphocholine cytidylyltransferase family protein		45634149	AT688_RS01680	750	249	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	343946	344527	-						45634150	AT688_RS01685	582		old_locus_tag=ERS445057_00336
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	343946	344527	-	WP_005897451.1	WP_005897451.1		gamma-glutamyl-gamma-aminobutyrate hydrolase family protein		45634150	AT688_RS01685	582	193	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	344521	346836	-						45634151	AT688_RS01690	2316		old_locus_tag=ERS445057_00337
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	344521	346836	-	WP_005897449.1	WP_005897449.1		PEP-utilizing enzyme		45634151	AT688_RS01690	2316	771	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	346841	347593	-						45634152	AT688_RS01695	753		old_locus_tag=ERS445057_00338
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	346841	347593	-	WP_005897447.1	WP_005897447.1		class I SAM-dependent methyltransferase		45634152	AT688_RS01695	753	250	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	347597	348094	-						45634153	AT688_RS01700	498		old_locus_tag=ERS445057_00339
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	347597	348094	-	WP_005897445.1	WP_005897445.1		adenylyl-sulfate kinase		45634153	AT688_RS01700	498	165	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	348105	349619	-						45634154	AT688_RS01705	1515		old_locus_tag=ERS445057_00340
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	348105	349619	-	WP_005897443.1	WP_005897443.1		thiamine pyrophosphate-binding protein		45634154	AT688_RS01705	1515	504	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	349604	350605	-						45634155	AT688_RS01710	1002		old_locus_tag=ERS445057_00341
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	349604	350605	-	WP_058229290.1	WP_058229290.1		radical SAM protein		45634155	AT688_RS01710	1002	333	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	350812	351882	-						45634156	AT688_RS01715	1071		old_locus_tag=ERS445057_00342
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	350812	351882	-	WP_005897439.1	WP_005897439.1		radical SAM protein		45634156	AT688_RS01715	1071	356	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	351894	352655	-						45634157	AT688_RS01720	762		old_locus_tag=ERS445057_00343
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	351894	352655	-	WP_005897437.1	WP_005897437.1		radical SAM protein		45634157	AT688_RS01720	762	253	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	352652	353734	-						45634158	AT688_RS01725	1083		old_locus_tag=ERS445057_00344
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	352652	353734	-	WP_005897435.1	WP_005897435.1		hypothetical protein		45634158	AT688_RS01725	1083	360	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	354119	354685	-						45634159	AT688_RS01730	567		old_locus_tag=ERS445057_00345
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	354119	354685	-	WP_005897431.1	WP_005897431.1		radical SAM protein		45634159	AT688_RS01730	567	188	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	354694	356544	-						45634160	AT688_RS01735	1851		old_locus_tag=ERS445057_00346
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	354694	356544	-	WP_005897429.1	WP_005897429.1		AAA family ATPase		45634160	AT688_RS01735	1851	616	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	356544	357674	-						45634161	AT688_RS01740	1131		old_locus_tag=ERS445057_00347
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	356544	357674	-	WP_005897427.1	WP_005897427.1		hypothetical protein		45634161	AT688_RS01740	1131	376	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	357684	360140	-						45634162	AT688_RS01745	2457		old_locus_tag=ERS445057_00348
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	357684	360140	-	WP_005897425.1	WP_005897425.1		PIN domain-containing protein		45634162	AT688_RS01745	2457	818	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	360137	364153	-						45634163	AT688_RS01750	4017		old_locus_tag=ERS445057_00349
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	360137	364153	-	WP_005897423.1	WP_005897423.1		AAA domain-containing protein		45634163	AT688_RS01750	4017	1338	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	364869	365978	-						45634164	AT688_RS01755	1110		old_locus_tag=ERS445057_00350
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	364869	365978	-	WP_005897421.1	WP_005897421.1		AAA family ATPase		45634164	AT688_RS01755	1110	369	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	365983	367263	-						45634165	AT688_RS01760	1281		old_locus_tag=ERS445057_00351
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	365983	367263	-	WP_005897420.1	WP_005897420.1		hypothetical protein		45634165	AT688_RS01760	1281	426	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	367372	369078	-						45634166	AT688_RS01765	1707		old_locus_tag=ERS445057_00352
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	367372	369078	-	WP_005897418.1	WP_005897418.1		hypothetical protein		45634166	AT688_RS01765	1707	568	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	369103	370458	-					rlmD	45634167	AT688_RS01770	1356		old_locus_tag=ERS445057_00353
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	369103	370458	-	WP_032842711.1	WP_032842711.1		23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD	rlmD	45634167	AT688_RS01770	1356	451	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	370460	370717	-						45634168	AT688_RS01775	258		old_locus_tag=ERS445057_00354
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	370460	370717	-	WP_005897415.1	WP_005897415.1		hypothetical protein		45634168	AT688_RS01775	258	85	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	370719	371663	-					rsmH	45634169	AT688_RS01780	945		old_locus_tag=ERS445057_00355
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	370719	371663	-	WP_005897414.1	WP_005897414.1		16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH	rsmH	45634169	AT688_RS01780	945	314	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	371920	372195	-						45634170	AT688_RS01785	276		old_locus_tag=ERS445057_00356
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	371920	372195	-	WP_005897412.1	WP_005897412.1		YggT family protein		45634170	AT688_RS01785	276	91	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	372209	372772	-					pgsA	45634171	AT688_RS01790	564		old_locus_tag=ERS445057_00357
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	372209	372772	-	WP_005897410.1	WP_005897410.1		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	pgsA	45634171	AT688_RS01790	564	187	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	372788	374887	-					pnp	45634172	AT688_RS01795	2100		old_locus_tag=ERS445057_00358
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	372788	374887	-	WP_005897408.1	WP_005897408.1		polyribonucleotide nucleotidyltransferase	pnp	45634172	AT688_RS01795	2100	699	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	375076	376053	-						45634173	AT688_RS01800	978		old_locus_tag=ERS445057_00359
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	375076	376053	-	WP_005897407.1	WP_005897407.1		galactose mutarotase		45634173	AT688_RS01800	978	325	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	376063	376827	-						45634174	AT688_RS01805	765		old_locus_tag=ERS445057_00360
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	376063	376827	-	WP_005897406.1	WP_005897406.1		TSUP family transporter		45634174	AT688_RS01805	765	254	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	376843	379125	-					fplA	45634175	AT688_RS01810	2283		old_locus_tag=ERS445057_00361
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	376843	379125	-	WP_005897405.1	WP_005897405.1		autotransporter phospholipase A1 FplA	fplA	45634175	AT688_RS01810	2283	760	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	379318	380316	+					rfaD	45634176	AT688_RS01815	999		old_locus_tag=ERS445057_00362
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	379318	380316	+	WP_005897404.1	WP_005897404.1		ADP-glyceromanno-heptose 6-epimerase	rfaD	45634176	AT688_RS01815	999	332	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	380334	381149	+						45634177	AT688_RS01820	816		old_locus_tag=ERS445057_00363
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	380334	381149	+	WP_005897403.1	WP_005897403.1		undecaprenyl-diphosphate phosphatase		45634177	AT688_RS01820	816	271	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	381209	381781	+					rfbC	45634178	AT688_RS01825	573		
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	381209	381781	+	WP_032842710.1	WP_032842710.1		dTDP-4-dehydrorhamnose 3,5-epimerase	rfbC	45634178	AT688_RS01825	573	190	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	381791	382687	+					rfbD	45634179	AT688_RS01830	897		old_locus_tag=ERS445057_00365
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	381791	382687	+	WP_005897401.1	WP_005897401.1		dTDP-4-dehydrorhamnose reductase	rfbD	45634179	AT688_RS01830	897	298	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	382700	383698	+						45634180	AT688_RS01835	999		old_locus_tag=ERS445057_00366
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	382700	383698	+	WP_005897400.1	WP_005897400.1		hypothetical protein		45634180	AT688_RS01835	999	332	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	383710	385521	+						45634181	AT688_RS01840	1812		old_locus_tag=ERS445057_00367
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	383710	385521	+	WP_174514627.1	WP_174514627.1		polysaccharide biosynthesis protein		45634181	AT688_RS01840	1812	603	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	385525	386112	+						45634182	AT688_RS01845	588		old_locus_tag=ERS445057_00368
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	385525	386112	+	WP_005897398.1	WP_005897398.1		sugar transferase		45634182	AT688_RS01845	588	195	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	386131	387342	+						45634183	AT688_RS01850	1212		old_locus_tag=ERS445057_00369
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	386131	387342	+	WP_005897396.1	WP_005897396.1		DegT/DnrJ/EryC1/StrS aminotransferase family protein		45634183	AT688_RS01850	1212	403	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	387352	388194	+						45634184	AT688_RS01855	843		old_locus_tag=ERS445057_00370
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	387352	388194	+	WP_005897395.1	WP_005897395.1		glycosyltransferase		45634184	AT688_RS01855	843	280	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	388941	389618	+						45636182	AT688_RS12245	678		
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	388941	389618	+	WP_143827548.1	WP_143827548.1		hypothetical protein		45636182	AT688_RS12245	678	225	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	389621	390601	+						45634185	AT688_RS01865	981		old_locus_tag=ERS445057_00372
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	389621	390601	+	WP_005897393.1	WP_005897393.1		hypothetical protein		45634185	AT688_RS01865	981	326	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	390675	391967	+						45634186	AT688_RS01870	1293		old_locus_tag=ERS445057_00373
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	390675	391967	+	WP_005897392.1	WP_005897392.1		flippase		45634186	AT688_RS01870	1293	430	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	392079	392696	+						45634187	AT688_RS01875	618		old_locus_tag=ERS445057_00374
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	392079	392696	+	WP_005897391.1	WP_005897391.1		acetyltransferase		45634187	AT688_RS01875	618	205	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	392701	393744	+					neuB	45634188	AT688_RS01880	1044		old_locus_tag=ERS445057_00375
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	392701	393744	+	WP_005897390.1	WP_005897390.1		N-acetylneuraminate synthase	neuB	45634188	AT688_RS01880	1044	347	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	393747	395003	+						45634189	AT688_RS01885	1257		old_locus_tag=ERS445057_00376
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	393747	395003	+	WP_005897387.1	WP_005897387.1		GDSL-type esterase/lipase family protein		45634189	AT688_RS01885	1257	418	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	395008	396156	+					neuC	45634190	AT688_RS01890	1149		old_locus_tag=ERS445057_00377
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	395008	396156	+	WP_005897384.1	WP_005897384.1		UDP-N-acetylglucosamine 2-epimerase	neuC	45634190	AT688_RS01890	1149	382	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	396256	397062	+						45634191	AT688_RS01895	807		old_locus_tag=ERS445057_00378
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	396256	397062	+	WP_005897381.1	WP_005897381.1		glycosyltransferase family 2 protein		45634191	AT688_RS01895	807	268	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	397043	397786	+						45634192	AT688_RS01900	744		old_locus_tag=ERS445057_00379
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	397043	397786	+	WP_005897380.1	WP_005897380.1		glycosyltransferase family 2 protein		45634192	AT688_RS01900	744	247	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	397796	399727	+						45634193	AT688_RS01905	1932		old_locus_tag=ERS445057_00380
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	397796	399727	+	WP_005897378.1	WP_005897378.1		flippase-like domain-containing protein		45634193	AT688_RS01905	1932	643	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	399714	400271	+						45634194	AT688_RS01910	558		old_locus_tag=ERS445057_00381
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	399714	400271	+	WP_005897376.1	WP_005897376.1		HAD-IA family hydrolase		45634194	AT688_RS01910	558	185	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	400290	403205	+						45634195	AT688_RS01915	2916		old_locus_tag=ERS445057_00382
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	400290	403205	+	WP_005897374.1	WP_005897374.1		hypothetical protein		45634195	AT688_RS01915	2916	971	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	403208	403630	+						45634196	AT688_RS01920	423		old_locus_tag=ERS445057_00383
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	403208	403630	+	WP_005897372.1	WP_005897372.1		GtrA family protein		45634196	AT688_RS01920	423	140	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	404135	404281	+						55549266	AT688_RS12475	147		old_locus_tag=ERS445057_00384
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	404135	404281	+	WP_174514628.1	WP_174514628.1		hypothetical protein		55549266	AT688_RS12475	147	48	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	404432	405316	+					galU	45634197	AT688_RS01925	885		old_locus_tag=ERS445057_00385
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	404432	405316	+	WP_032842709.1	WP_032842709.1		UTP--glucose-1-phosphate uridylyltransferase GalU	galU	45634197	AT688_RS01925	885	294	
gene	pseudogene	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	405322	406054	+						45634198	AT688_RS01930	733		partial;pseudo
CDS	without_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	405322	406054	+				GDP-mannose 4,6-dehydratase		45634198	AT688_RS01930	733		partial;pseudo
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	406180	407559	+						45634199	AT688_RS01935	1380		old_locus_tag=ERS445057_00388
